100342000401,令和２年度任意調査,,,
100342001410,令和３年度任意調査,経営力向上、経営改善,売上拡大、現場改善・生産性向上、事業計画策定,
100642000901,平成30年度任意調査,経営力向上、事業承継,資金繰り、財務分析・経営分析、税務,事業を承継した人に対し、当会社の財務内容、及び資金繰り、並びに最低限必要な税法についても随時、説明している。
100642000901,令和２年度任意調査,経営力向上,資金繰り、財務分析・経営分析、税務,
100642000901,令和３年度任意調査,経営力向上,資金繰り、財務分析・経営分析、税務,
105242000610,令和元年度任意調査,創業、経営革新、異分野連携、経営力向上、経営改善、事業再生、事業承継、転廃業,ＩＴ利活用（情報発信・付加価値向上）、ＩＴ利活用（内部管理・効率化）、広報戦略・ブランド力の強化、商圏の拡大・新規顧客層への展開、海外展開、商品開発、マーケティング、資金繰り、売上拡大、労務、現場改善・生産性向上、業務プロセスの改善、事業計画策定、財務分析・経営分析、施策活用（補助金申請含む）、事業承継ガイドラインの活用,現状分析および市場設定から、経営改善につながる方策（販売促進、生産性向上他）を支援 財務分析による経営改善計画作成支援および実行支援 経営革新計画、経営力向上計画、事業継続力強化計画の作成支援 経営力向上につながるセミナー等の開催等が挙げられます。
105242000610,令和３年度任意調査,創業、経営革新、異分野連携、経営力向上、経営改善、事業承継、転廃業,ＩＴ利活用（情報発信・付加価値向上）、ＩＴ利活用（内部管理・効率化）、広報戦略・ブランド力の強化、商圏の拡大・新規顧客層への展開、商品開発、マーケティング、資金繰り、売上拡大、労務、法律相談、現場改善・生産性向上、業務プロセスの改善、事業計画策定、財務分析・経営分析、施策活用（補助金申請含む）、知的財産、ローカルベンチマークの活用、事業承継ガイドラインの活用,
103742000102,平成30年度任意調査,創業、事業承継,ＩＴ利活用（内部管理・効率化）、法律相談、法律文書の作成・確認、財務分析・経営分析、施策活用（補助金申請含む）、税務,顧問先企業の財務内容を確認し、必要な提案を行っている。
103742000102,令和元年度任意調査,経営力向上,税務,
103742000102,令和２年度任意調査,創業、経営力向上、事業承継、転廃業,ＩＴ利活用（内部管理・効率化）、資金繰り、法律文書の作成・確認、現場改善・生産性向上、財務分析・経営分析、税務,
103742000102,令和３年度任意調査,創業、経営力向上,資金繰り、現場改善・生産性向上,
101342000305,平成30年度任意調査,経営改善,法律相談、代理人としての契約交渉、財務分析・経営分析,
104442000110,平成30年度任意調査,経営力向上、経営改善,商圏の拡大・新規顧客層への展開、売上拡大、労務、事業計画策定、施策活用（補助金申請含む）,リスケジュール先の半年ごとの返済条件見直し時期に合わせて、必要資料の作成サポートを行っている。
104442000110,令和２年度任意調査,創業、経営革新、経営力向上,ＩＴ利活用（情報発信・付加価値向上）、商圏の拡大・新規顧客層への展開、資金繰り、売上拡大、事業計画策定、知的財産,
104442000110,令和３年度任意調査,創業、経営革新,商圏の拡大・新規顧客層への展開、売上拡大、事業計画策定,
100142002413,平成30年度任意調査,創業、経営改善、事業再生、事業承継,【金融機関の場合】顧客の実情に応じた金融機関としてのコンサルティング機能の提供,経営課題解決を支援する目的で、一定の条件下で選定した中小企業等に対しては、本部専門部署（融資部経営支援課）と営業店が一体となって集中的な支援活動に取り組んでいます。取り組みに当たっては、中小企業再生支援協議会等の外部機関、中小企業診断士等の外部専門家とも連携し、その知見、機能を活用するなどで支援手法の充実を図っています。また、創業支援は、日本政策金融公庫との連携で創業資金の協調融資を行っています。事業承継支援では、平成30年度から融資部経営支援課に専門担当者を配置し、現在は事業引継ぎ支援センター、事業承継ネットワーク事務局等の外部機関との連携を強化して、該当先の情報収集、情報提供に取り組んでいます。
100142002413,令和３年度任意調査,創業、経営革新、異分野連携、経営力向上、経営改善、事業再生、事業承継、転廃業、再チャレンジ,【金融機関の場合】顧客の実情に応じた金融機関としてのコンサルティング機能の提供,
100442000401,平成30年度任意調査,経営改善,ＩＴ利活用（内部管理・効率化）、事業計画策定、財務分析・経営分析,
100442000401,令和元年度任意調査,経営改善,事業計画策定,
100442000401,令和２年度任意調査,経営改善,資金繰り、事業計画策定、財務分析・経営分析、税務,
100442000401,令和３年度任意調査,創業、経営改善,資金繰り、事業計画策定、財務分析・経営分析、税務,
100542001301,平成30年度任意調査,経営力向上、事業承継,代理人としての契約交渉、現場改善・生産性向上、事業計画策定、財務分析・経営分析、税務,事業承継や事業譲渡
100542001301,令和元年度任意調査,経営力向上,税務,
100542001301,令和２年度任意調査,経営力向上,現場改善・生産性向上,
100142000701,平成30年度任意調査,経営革新、経営力向上、経営改善,資金繰り、事業計画策定、財務分析・経営分析、施策活用（補助金申請含む）,財務計画と実績の比較及び差異への対応策のヒアリング並びに金融機関への報告
100142000701,令和元年度任意調査,創業、経営革新、経営力向上、経営改善、事業承継,ＩＴ利活用（内部管理・効率化）、広報戦略・ブランド力の強化、商圏の拡大・新規顧客層への展開、資金繰り、労務、業務プロセスの改善、事業計画策定、財務分析・経営分析、税務、事業承継ガイドラインの活用,
100142000701,令和３年度任意調査,事業再生、事業承継,ＩＴ利活用（内部管理・効率化）、マーケティング、資金繰り、労務、税務、事業承継ガイドラインの活用,
100142001001,平成30年度任意調査,経営力向上、経営改善、事業承継,ＩＴ利活用（情報発信・付加価値向上）、商圏の拡大・新規顧客層への展開、資金繰り、売上拡大、現場改善・生産性向上、事業計画策定、施策活用（補助金申請含む）、税務、ローカルベンチマークの活用,事業者の経営全般のヒアリング、設備投資の事前相談、経営改善計画の策定支援、金融機関との折衝
100142001001,令和元年度任意調査,経営力向上,業務プロセスの改善,
100142001001,令和３年度任意調査,創業、経営改善、事業承継、転廃業,ＩＴ利活用（情報発信・付加価値向上）、ＩＴ利活用（内部管理・効率化）、資金繰り、売上拡大、労務、財務分析・経営分析、ローカルベンチマークの活用,
105242000312,令和元年度任意調査,創業、経営革新、経営力向上、経営改善,広報戦略・ブランド力の強化、商圏の拡大・新規顧客層への展開、マーケティング、資金繰り、売上拡大、事業計画策定、財務分析・経営分析,
102242000112,平成30年度任意調査,経営力向上、経営改善、事業再生、事業承継,資金繰り、労務、法律相談、財務分析・経営分析,リスケジュール後のサポート
102242000112,令和元年度任意調査,経営改善、事業再生,資金繰り、労務、財務分析・経営分析、施策活用（補助金申請含む）、税務0,
102242000112,令和２年度任意調査,経営力向上、経営改善、事業再生,商品開発、資金繰り、労務、財務分析・経営分析,
103442000112,平成30年度任意調査,創業、経営革新、経営改善、事業再生、事業承継,資金繰り、事業計画策定、財務分析・経営分析、施策活用（補助金申請含む）,経営改善、事業承継等、毎月継続的に訪問し、状況確認を行っている。
